Designator,Mid X,Mid Y,Rotation,Layer
ANT401,3.6,-1.1,180.0,top
C101,16.6,-10.9,180.0,bottom
C201,19.31,-4.39,270.0,top
C202,16.46,-7.39,0.0,top
C203,13.26,-4.49,90.0,top
C301,18.749999,-16.8,270.0,top
C302,15.15,-16.8,270.0,top
C401,1.845,-3.4,0.0,bottom
C402,1.845,-6.6,180.0,bottom
C403,4.0,-6.8,315.0,bottom
C404,6.6,-2.6,90.0,bottom
C405,5.36967,-4.9,0.0,bottom
C406,8.5,-1.3,270.0,top
C407,10.3,-2.5,225.0,top
C408,9.13934,-2.887333,45.0,bottom
C409,12.602461,-3.225431,225.0,bottom
C410,11.996967,-4.122135,225.0,bottom
C411,11.144151,-4.325343,225.0,bottom
C412,6.702047,-14.02649,225.0,bottom
C413,7.409154,-13.602226,225.0,bottom
C414,7.25,-2.599999,90.0,bottom
C415,12.285965,-10.983705,135.0,bottom
C416,9.66967,-13.6,315.0,bottom
D201,15.0,-1.0,90.0,top
D202,14.0,-1.0,90.0,top
D401,13.0,-1.0,90.0,top
J101,10.046853,-17.2,0.0,bottom
J102,4.046853,-20.0,180.0,top
L401,9.6,-1.4,315.0,top
R1,16.0,-1.09,90.0,bottom
R101,2.6,-19.0,90.0,bottom
R102,2.6,-19.0,90.0,top
R103,16.6,-12.2,0.0,bottom
R104,16.6,-11.55,180.0,bottom
R2,17.0,-1.09,90.0,bottom
R201,17.31,-9.390001,270.0,top
R202,16.31,-9.39,270.0,top
R203,18.66,-7.29,270.0,top
R204,14.56,-6.79,90.0,top
R205,15.0,-1.094999,90.0,bottom
R206,14.0,-1.094999,90.0,bottom
R207,18.0,-1.09,90.0,bottom
R301,17.477207,-17.931371,180.0,top
R401,5.5,-3.9,180.0,bottom
R402,13.0,-1.11,90.0,bottom
R403,7.9,-2.6,270.0,bottom
R404,9.7,-9.9,45.0,top
R405,7.4,-5.0,315.0,top
R406,6.4,-5.9,315.0,top
R407,8.4,-6.0,315.0,top
R408,7.4,-6.9,315.0,top
SW401,9.674711,-17.0,90.0,top
SW402,12.5,-17.0,90.0,top
U201,16.31,-4.39,180.0,top
U301,16.95,-16.8,0.0,top
U401,8.587207,-8.389213,315.0,bottom
Y601,1.845,-5.0,90.0,bottom
